id,present_in_first_screening,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason,human_decision,human_reason
440,no,include,"The paper addresses energy-efficient power management in HPC systems with explicit focus on minimizing energy waste and sustainable exascale computing, connecting to broader environmental impact concerns.",exclude,"The paper focuses on power and energy-efficient scheduling in HPC without addressing broader environmental impacts such as carbon emissions, water use, or material/resource impacts.",,,,
441,no,include,"The paper investigates I/O energy consumption in HPC environments and presents methodologies for measuring and improving energy efficiency, which connects to broader environmental impact considerations.",exclude,"The paper is about measuring and improving HPC I/O energy and power consumption only, without addressing broader environmental impacts such as carbon, water, or materials.",,,,
442,no,include,"The paper directly addresses energy consumption of HPC resources used for co-simulation, measuring and optimizing energy efficiency of data transfers in HPC systems.",exclude,"The paper discusses HPC only in terms of energy-efficient data movement for a building co-simulation framework and does not address broader environmental impacts such as carbon, water, or materials.",,,,
443,no,include,"The paper addresses energy consumption in HPC applications and explicitly connects it to environmental impact, satisfying IC1.",exclude,"The paper focuses on measuring and optimizing energy consumption in HPC applications without substantively addressing broader environmental impacts such as carbon, water, or materials, so it meets EC2.",,,,
444,no,include,The paper measures energy consumption of LLM inference on HPC systems (high-end GPUs) and connects it to environmental impacts including CO2 emissions.,exclude,"The paper focuses on measuring LLM inference energy use and only mentions environmental impacts in passing, without addressing broader HPC environmental impacts or methods for measuring them beyond energy alone.",,,,
445,no,include,"The paper explicitly addresses environmental costs of HPC and generative AI systems, covering sustainable computing foundations that connect to broader environmental impacts.",include,"The study is explicitly about sustainable HPC systems and associated environmental costs, so it fits IC1 even if it appears to be framed as a lecture.",,,,
446,no,exclude,"The paper focuses on chip scaling and AI inference hardware efficiency, with no connection to environmental impacts such as carbon emissions, energy consumption in relation to environmental outcomes, water use, or material depletion.",exclude,"The abstract discusses scalable chiplet architectures for AI/HPC and only mentions sustainability in a broad strategic sense, without addressing environmental impacts or methods to measure/predict them.",,,,
447,no,exclude,"The paper focuses on memory footprint reduction and MPI development productivity in HPC, with no connection to environmental impacts such as carbon emissions, energy consumption linked to broader environmental concerns, water use, or material depletion.",exclude,"The paper focuses on memory-efficient programming and MPI datatype development for HPC performance, without addressing environmental impacts or methods to assess them.",,,,
448,no,exclude,"EC2 applies — the paper focuses solely on energy consumption optimization in mobile crowd computing without connecting to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on energy-efficient task scheduling in mobile crowd computing and does not connect energy use to broader environmental impacts such as carbon, water, or materials.",,,,
449,no,exclude,"EC1/EC2 — the paper focuses on parallel performance optimization of a quantum chemistry algorithm on HPC hardware, with no mention of environmental impacts, carbon emissions, or related metrics.",exclude,"The paper focuses on parallel performance and memory optimization of a quantum chemistry method on Xeon Phi hardware, without addressing environmental impacts of HPC or methods to measure/predict them.",,,,
450,yes,include,"The paper addresses energy efficiency and pricing mechanisms in HPC systems, connecting energy consumption to sustainability and cost impacts, which relates to environmental impact in the HPC context (IC1).",exclude,"The paper focuses on HPC energy consumption, power management, and pricing economics without addressing broader environmental impacts or methods for measuring/predicting them beyond energy use.",,,exclude,EC2
451,no,exclude,EC1 — this paper is about a bioinformatics tool for DNA methylation analysis and has no relation to environmental impacts of HPC.,exclude,The paper is about a parallel bioinformatics tool for DNA hydroxymethylation analysis and does not address environmental impacts of HPC beyond performance and memory footprint.,,,,
452,yes,exclude,"The paper surveys scientific software practices and productivity on HPC platforms without addressing environmental impacts, carbon emissions, energy consumption in an environmental context, or any other environmental criteria.",exclude,"The paper discusses software productivity and software sustainability practices on HPC platforms, not environmental impacts or methods for measuring/predicting them.",,,exclude,EC1
453,no,exclude,"EC1/EC2 — the paper focuses on HPC performance optimization (multiphase simulations, GPU scaling) with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about high-performance code generation and scaling for lattice Boltzmann simulations on CPUs/GPUs, with no discussion of environmental impacts or methodologies to measure/predict them in HPC.",,,,
454,no,exclude,"EC2 — the paper focuses on fault tolerance and resilience algorithms for exascale computing; energy consumption is mentioned only incidentally as a cost metric, not connected to broader environmental impacts.",exclude,"The paper focuses on resilience and fault tolerance in extreme-scale simulations, with only incidental mention of energy consumption and no substantive treatment of environmental impacts in HPC.",,,,
455,no,exclude,"EC1 — the paper focuses on HPC scalability techniques for a physics simulation, with no connection to environmental impacts of HPC systems.",exclude,The paper focuses on improving the scalability and performance of an HPC eigensolver for physics simulations and does not address environmental impacts or methods to measure/predict them.,,,,
456,no,exclude,"EC2 — the paper focuses on computational performance (speed, data movement, memory footprint) of GPU LU factorization without connecting to broader environmental impacts.",exclude,"The paper focuses on numerical performance, data movement, and memory footprint of GPU LU factorization without addressing environmental impacts of HPC or methods to assess them.",,,,
457,no,exclude,The paper focuses on GPU performance benchmarking for turbulence simulations without connecting energy efficiency findings to broader environmental impacts like carbon emissions or sustainability metrics.,exclude,"The abstract is about HPC performance and power/energy efficiency for CFD simulations, without addressing broader environmental impacts of HPC such as carbon, water, materials, or environmental assessment methods.",,,,
458,yes,exclude,"EC1/EC2 — the paper focuses on HPC performance optimization (memory reduction, speedup) for seismic imaging with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,The paper is about accelerating seismic redatuming with HPC techniques and does not address environmental impacts of HPC systems or methodologies for measuring/predicting them.,,,exclude,EC1
459,no,exclude,"EC1/EC2 — the paper focuses on HPC mathematical software performance and portability with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about a performance-portable math library for exascale applications and uses “sustainable” in a software design sense, without addressing environmental impacts or methods to measure them in HPC.",,,,
460,no,exclude,"EC1 — the paper describes the design evolution of a linear algebra library for exascale systems with no discussion of environmental impacts such as carbon emissions, energy-environment linkages, or resource use.",exclude,"The paper concerns the design, performance, and software maintainability of an HPC linear algebra library, without addressing environmental impacts or methods to measure/predict them.",,,,
461,no,exclude,"EC1 — the paper focuses on data democratization and scientific research infrastructure, with no connection to environmental impacts of HPC.",exclude,The paper discusses data democratization and research infrastructure around HPC without addressing environmental impacts or methods to measure/predict them.,,,,
462,no,exclude,"EC2 applies — the paper focuses on HPC software performance, portability, and computational efficiency without connecting to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on performance portability, scalability, and software sustainability/maintainability for CFD on HPC systems, not on environmental impacts or methods to measure/predict them.",,,,
463,no,exclude,"EC1 — the paper uses HPC for environmental simulation of the Chesapeake Bay ecosystem, but does not address the environmental impacts of HPC systems themselves.",exclude,"The paper uses supercomputer-based simulation and visualization to study the Chesapeake Bay ecosystem, but it does not address environmental impacts of HPC systems or methods to measure/predict them.",,,,
464,no,exclude,"EC1 — the paper addresses optimization models for facility location and fairness in waste management, with no connection to environmental impacts of HPC systems.",exclude,"The paper is about fairness and access in waste management facility location, and the mention of high-performance computing is only in funding/support rather than as the study’s environmental subject.",,,,
465,no,exclude,"The paper focuses on programming paradigms and runtimes for exascale systems, with energy constraints mentioned only in passing, and does not address environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper discusses exascale programming models, resilience, and energy constraints for performance, but it does not address environmental impacts of HPC or methods to measure/predict them beyond energy-related system constraints.",,,,
466,yes,include,"The paper addresses sustainability in HPC systems including energy efficiency, which connects to broader environmental impacts of ultrascale computing.",exclude,"The abstract discusses MPI mechanisms for broad software/system sustainability concerns like scalability, resilience, and energy efficiency, but it does not address environmental impacts of HPC or methods to measure or predict them.",,,exclude,EC2
467,no,exclude,EC1/EC2 — the paper focuses on algorithmic performance and memory efficiency for similarity search and does not address environmental impacts of HPC.,exclude,"The paper is about high-performance similarity search and memory/performance optimization, with no discussion of environmental impacts or methods to assess them in HPC.",,,,
468,no,exclude,EC1/EC2 — the paper focuses on graph data structure efficiency and memory/computational performance without addressing environmental impacts of HPC.,exclude,The paper focuses on graph processing performance and memory efficiency on supercomputers without addressing environmental impacts or methods to measure/predict them.,,,,
469,no,exclude,"EC1 — the paper focuses on building a low-cost HPC cluster from reused workstations for running agent-based models, with no discussion of environmental impacts.",include,"The study is in an HPC context and discusses building a cluster from reused discarded workstations, which suggests a potential material or e-waste environmental dimension, so it should be included when uncertain.",,,,
470,no,include,"The paper addresses green/sustainable management of data centres used for HPC and cloud computing, connecting to broader environmental impact reduction (IC1).",exclude,"The paper focuses on service management for greener data centres in general, only mentions HPC tangentially, and appears centered on energy-aware migration rather than environmental impacts of HPC systems specifically.",,,,
471,no,include,"The paper addresses energy consumption in HPC cloud environments and investigates strategies to reduce the environmental footprint of HPC cloud users, connecting to broader environmental impacts.",exclude,The paper is about reducing energy consumption in scientific cloud/HPC usage and does not clearly address broader environmental impacts or methods for assessing them beyond energy alone.,,,,
472,no,exclude,"EC1/EC2 — the paper addresses memory and storage efficiency in distributed file systems but does not connect to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on cache deduplication, memory/storage efficiency, and performance in a distributed file system without addressing environmental impacts of HPC or methods to measure/predict them.",,,,
473,yes,include,"The paper addresses energy consumption reduction and waste heat reuse in an HPC supercomputer centre, connecting to broader environmental sustainability impacts beyond mere energy metrics.",include,"The paper studies an HPC cooling approach in a supercomputer centre with explicit sustainability framing and evaluates cooling-related power reduction and waste-heat reuse, so it is close enough to the review scope to include when uncertain.",,,exclude,EC2
474,no,include,"The paper addresses carbon footprint reduction in HPC data centers using RL-based control, directly connecting energy consumption to broader environmental impacts (carbon emissions).",include,"The paper presents a methodology for reducing carbon footprint in data centers that explicitly supports large HPC clusters, so it fits IC1 and IC2.",,,,
475,yes,exclude,"EC1 — the paper is about a teaching feedback model for campus courses and uses ""HPC"" loosely; it does not address environmental impacts of HPC systems.",exclude,"The paper is about applying computing and a teaching feedback model to sustainable campus design rather than assessing environmental impacts of HPC systems, so it falls outside the review scope.",,,exclude,EC1
476,yes,exclude,EC1 — the paper describes HPC grid infrastructure setup and software integration with no connection to environmental impacts.,exclude,"The paper discusses HPC/Grid infrastructure integration and the organizational sustainability of the infrastructure, not environmental impacts or methods to measure them in HPC.",,,exclude,EC1
477,no,include,"The paper addresses e-waste from obsolete computers and clusters, which is an environmental impact directly relevant to HPC systems (IC1).",include,The paper addresses an environmental impact in an HPC-related context by discussing computer clusters as a way to mitigate e-waste.,,,,
478,no,include,"The paper measures energy consumption of virtualization technologies (Docker vs VMware) in an HPC/cloud context, satisfying IC1.",exclude,"The paper studies performance and energy consumption of Hadoop virtualization environments without addressing broader environmental impacts of HPC such as carbon, water, materials, or environmental assessment methodologies.",,,,
479,no,exclude,EC1 — the paper is about a VR-based agricultural visualization system and has no connection to environmental impacts of HPC.,exclude,"The paper is about applying virtual reality and scientific visualization to farmland ecology education and simulation, not about environmental impacts of HPC systems.",,,,
480,no,exclude,"EC1 — the paper addresses ecological forecasting and remote sensing of biogeophysical fields, with no connection to environmental impacts of HPC systems.",exclude,"The paper concerns ecological forecasting and spatio-temporal modeling for environmental data, not the environmental impacts of HPC systems or methods to assess them.",,,,
481,no,exclude,"EC1 — the paper is about urban ecological modeling and informatics infrastructure, with no connection to environmental impacts of HPC systems.",exclude,"The paper is about urban ecology data/model networking and distributed services, with only incidental mention of a supercomputer center, and does not address environmental impacts of HPC systems or methods to measure them.",,,,
482,no,exclude,"EC1 — the paper uses HPC as a computational tool for agent-based modeling in organization science, with no discussion of environmental impacts of HPC systems.",exclude,"The paper uses HPC as a computational tool for organization science and coevolutionary modeling, but it does not address environmental impacts of HPC or methods to measure/predict them.",,,,
483,yes,include,"The paper presents a high-density, low-power supercomputer design with explicit focus on power consumption metrics and compares efficiency against other HPC systems, connecting to broader environmental impact considerations (IC1/IC2).",exclude,"The paper focuses on supercomputer design, computing density, and power consumption only, without addressing broader environmental impacts or methods for measuring them.",,,exclude,EC1
484,no,exclude,"EC1 — the paper focuses on HPC networking infrastructure (LambdaGrids, optical bandwidth provisioning) with no connection to environmental impacts.",exclude,The paper focuses on bandwidth provisioning and networking infrastructure for HPC/metacomputing without addressing environmental impacts or methodologies to measure/predict them.,,,,
485,no,exclude,"EC1/EC2 — the paper focuses on load balancing and communication optimization in HPC simulations, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,The paper is about load balancing and communication optimization in HPC simulations and does not address environmental impacts or methods for measuring/predicting them.,,,,
486,no,exclude,"The paper focuses on energy efficiency and CO2 reduction in commercial buildings, using HPC only as a computational tool, not addressing environmental impacts of HPC systems themselves.",exclude,"The paper uses HPC as a computational tool for building control and optimization, but it does not address the environmental impacts of HPC systems themselves.",,,,
487,no,exclude,"EC1 — the paper focuses on performance monitoring/analysis tools for HPC clusters, with no connection to environmental impacts.",exclude,"The paper concerns HPC performance monitoring tools and uses “sustainability” in the sense of software/community longevity, not environmental impacts or methods to measure them.",,,,
488,yes,exclude,"This paper focuses on model-driven engineering and UML-based code generation for HPC applications, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper concerns model-driven software engineering, portability, and performance for HPC applications, but it does not address environmental impacts or methods to measure/predict them.",,,exclude,EC1
489,no,exclude,"EC1 — the paper addresses parallel HPC algorithms for finite element methods and image registration, with no connection to environmental impacts of HPC systems.",exclude,"The paper focuses on parallel algorithms and scalable computation on supercomputing platforms for image registration, without addressing environmental impacts or methods to assess them in the HPC context.",,,,
490,no,exclude,"EC1/EC2 — the paper focuses on memory footprint reduction and program loading optimization in HPC, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about reducing memory footprint and program loading overhead for HPC applications, with no discussion of environmental impacts or methods to assess them.",,,,
491,no,exclude,"This paper focuses on parallel performance analysis tools and techniques for scientific applications, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on parallel performance analysis and scalability for scientific applications on supercomputers, without addressing environmental impacts of HPC or methods to measure/predict them.",,,,
492,no,include,"The paper addresses carbon footprint reduction in HPC through renewable solar energy integration, directly connecting to environmental impacts (IC1/IC2).",include,The paper should be included because it explicitly links a high-performance computing environment to broader environmental impacts by aiming to reduce carbon footprint through renewable-energy-aware power management.,,,,
493,yes,exclude,EC1 — the paper uses HPC as a tool for architectural design optimization but does not address the environmental impacts of HPC systems themselves.,exclude,"The paper uses HPC as an enabling tool for sustainable building and urban design, but it does not address or measure the environmental impacts of HPC systems themselves.",,,exclude,EC1
494,no,exclude,"The paper focuses on HPC middleware for computational chemistry resource management, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about middleware-based runtime adaptation and HPC efficiency for quantum chemistry calculations, without addressing environmental impacts or methods to measure them.",,,,
495,no,exclude,"EC1/EC2 — the paper focuses on memory efficiency and performance optimization in HPC (cache capacity, memory footprint reduction) without addressing environmental impacts such as carbon emissions, energy consumption in environmental context, water use, or material depletion.",exclude,"The paper is about improving multicore/HPC memory efficiency and performance through data deduplication, with no discussion of environmental impacts or methods to assess them.",,,,
496,no,exclude,"EC1/EC2 — the paper focuses on parallel simulation algorithms and HPC performance optimization (execution time, memory, scalability) with no connection to environmental impacts such as carbon emissions, energy consumption in an environmental context, water use, or material depletion.",exclude,The paper focuses on parallel simulation performance and scalability on multiprocessor and supercomputer architectures without addressing environmental impacts or methods for assessing them.,,,,
497,no,exclude,EC1 — the paper is about efficient GPU implementation for lattice QCD calculations with no connection to environmental impacts of HPC.,exclude,"The paper focuses on efficient multi-GPU implementation and performance of a lattice QCD overlap operator, without addressing environmental impacts of HPC or methods to measure/predict them.",,,,
498,yes,exclude,"This paper focuses on simulating HPC system performance and architecture design, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,The paper focuses on simulation and performance prediction of HPC communication subsystems and does not address environmental impacts or methods for measuring them.,,,exclude,EC1
499,no,exclude,"EC1 — the paper focuses on parallel computing challenges (programming models, architectures, debugging) with no connection to environmental impacts of HPC.",exclude,"The paper is about general parallel computing challenges, architectures, programming models, and performance, with no discussion of environmental impacts or methods for assessing them in HPC.",,,,
500,no,exclude,"EC1 — the paper focuses on performance and scalability of a parallel network simulator (ns-3), with no connection to environmental impacts of HPC.",exclude,"The paper evaluates simulator performance and scalability metrics for distributed ns-3, but it does not address environmental impacts of HPC or methods for measuring/predicting them.",,,,
501,no,include,"The book addresses sustainability and green computing in the HPC context, covering environmental impacts beyond just energy consumption.",include,"The abstract explicitly includes HPC within green and sustainable computing systems, suggesting relevance to environmental impacts in the HPC context even though the specific impacts are not detailed.",,,,
502,no,exclude,"The paper focuses on resource management and job scheduling optimization (system utilization, user satisfaction) without connecting to environmental impacts such as carbon emissions, water use, or material depletion — power consumption is mentioned only as a system issue, not in an environmental context.",exclude,"The paper is about HPC resource management and scheduling performance, and although it mentions power consumption, it does not address broader environmental impacts or methods to assess them.",,,,
503,no,exclude,"EC1 — the paper is about fluid dynamics simulation of heart valves using HPC, with no discussion of environmental impacts of HPC systems.",exclude,The paper uses HPC for fluid dynamics simulations but does not address environmental impacts of HPC systems or methods for measuring/predicting them.,,,,
504,no,exclude,"The paper focuses on fault tolerance, reliability, and stateless parallel processing architectures for HPC, with ""sustainability"" used in the sense of application continuity rather than environmental impact — there is no connection to carbon emissions, water use, or other environmental impacts.",exclude,"The abstract uses ""sustainability"" to mean reliability, performance, and cost/resource efficiency in extreme-scale HPC and cloud operation, without addressing environmental impacts or methods to measure/predict them.",,,,
505,no,exclude,The paper uses HPC as a computational tool for running ensemble simulations but does not address environmental impacts of HPC or methodologies for measuring/predicting such impacts.,exclude,"The paper uses HPC resources to study urban water management, but it does not address environmental impacts of HPC systems or methods to measure/predict them.",,,,
506,no,include,"The paper uses HPC for building energy simulations aimed at carbon footprint reduction, connecting HPC usage to environmental impact assessment (IC1/IC2).",exclude,The paper uses an HPC cluster as a computational tool for building energy simulation but does not address or measure the environmental impacts of HPC systems themselves.,,,,
507,yes,exclude,"The paper uses HPC as a computational tool for social-ecological modeling but does not address environmental impacts of HPC itself, nor does it present methodologies for measuring or predicting such impacts.",exclude,"The paper uses HPC as a computational tool for environmental modeling, but it does not address or measure the environmental impacts of HPC systems themselves.",,,exclude,EC1
508,no,exclude,EC1 — the paper is a cloud security panel summary with no connection to environmental impacts of HPC systems.,exclude,"The paper is a symposium summary on cloud security and trust, with no substantive focus on environmental impacts in HPC or methods for assessing them.",,,,
509,no,exclude,EC1 — the paper focuses on volume rendering algorithms for particle data on CPUs/supercomputers and has no connection to environmental impacts of HPC.,exclude,The paper is about visualization and rendering performance for simulation particle data on HPC-related CPUs and does not address environmental impacts or methods to assess them.,,,,
510,no,include,"The paper addresses thermal management for energy-efficient and sustainable HPC systems, connecting to environmental impacts via on-chip cooling and energy efficiency in HPC.",exclude,"The abstract focuses on chip-level thermal monitoring and cooling for performance and energy efficiency, without addressing environmental impacts of HPC or methods to measure/predict them.",,,,
511,yes,exclude,"EC1 — the paper is about HPC workforce development and training programs, with no connection to environmental impacts of HPC systems.",exclude,"The paper is about HPC workforce development and training, not the environmental impacts of HPC systems or methods to assess them.",,,exclude,EC1
512,no,exclude,"EC1/EC2 — the paper addresses memory compression in HPC middleware for performance/resource efficiency, but does not connect to environmental impacts such as carbon emissions, energy consumption in an environmental context, water use, or material depletion.",exclude,The paper is about reducing memory overhead in HPC I/O data structures and does not address environmental impacts or methods to measure/predict them.,,,,
513,no,exclude,"EC1 — this is a workshop proceedings overview focused on Python for HPC programming productivity, with no connection to environmental impacts of HPC systems.",exclude,"The paper is about Python for scientific and high-performance computing productivity and software maintainability, not environmental impacts of HPC systems.",,,,
514,no,exclude,"This is a conference proceedings volume on knowledge discovery, knowledge engineering, and knowledge management with no focus on environmental impacts of HPC systems.",exclude,"This is a general conference proceedings volume on knowledge discovery and related fields, with only a passing mention of high-performance computing and no focus on environmental impacts or their assessment.",,,,
515,no,exclude,"EC1 — the paper is a manufacturing/industry conference proceedings focused on HPC only in the context of cloud computing for smart manufacturing, with no discussion of environmental impacts of HPC systems.",exclude,"The abstract is about service-oriented and intelligent manufacturing systems, with only incidental mention of HPC and no clear focus on environmental impacts or methods to assess them in HPC systems.",,,,
516,no,include,"The paper directly addresses environmental impacts (carbon footprint, non-renewable primary energy metrics) of data centers including HPC in the context of renewable energy supply strategies.",include,"The study explicitly situates data centres in an HPC context and addresses environmental impacts beyond energy alone, including carbon footprint and environmental metrics used to evaluate technical concepts.",,,,
517,no,exclude,"EC1 — the paper is about sustainable transportation research (vehicles, combustion, electrification) and only uses HPC as a supporting tool, not addressing HPC's own environmental impacts.",exclude,"The report is about sustainable transportation research and only mentions HPC as a supporting capability, not as the subject of environmental impact assessment or methodology.",,,,
518,no,exclude,"The paper focuses on scalability and performance portability for exascale applications, with only a passing mention of energy consumption as a motivation for architectural changes, without connecting to broader environmental impacts.",exclude,"The abstract focuses on exascale scalability, performance portability, and energy-aware application design without addressing broader environmental impacts or methods to assess them.",,,,
519,no,include,"The paper uses HPC as a tool to optimize building sustainability, addressing environmental impacts (building energy and sustainability analysis) in an HPC context, satisfying IC1.",exclude,The paper uses HPC as a computational tool for building sustainability optimization rather than addressing or measuring the environmental impacts of HPC systems.,,,,
520,no,exclude,"EC1/EC2 — the paper focuses on I/O performance monitoring and diagnosis on a supercomputer, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,The paper focuses on I/O performance monitoring and diagnosis in a supercomputer and does not address environmental impacts or methods for measuring/predicting them.,,,,
521,no,exclude,"EC1 — the paper addresses quantum simulation algorithms and tensor network methods on HPC systems, with no discussion of environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,The paper is about scalable quantum simulation algorithms on a supercomputer and does not address environmental impacts of HPC beyond computational efficiency.,,,,
522,no,exclude,"EC1/EC2 — the paper focuses on parallel DMRG algorithm performance (runtime, scalability) on HPC systems with no discussion of environmental impacts such as carbon emissions, energy efficiency, or resource sustainability.",exclude,The paper is about improving parallel DMRG performance on supercomputers and does not address environmental impacts or methodologies for measuring/predicting them in HPC.,,,,
523,no,exclude,"EC1 — the paper is about parallel cryptographic computation (SVP solving) using HPC, with no connection to environmental impacts of HPC systems.",exclude,The paper uses HPC to solve a cryptographic optimization problem and does not address environmental impacts or methods for measuring/predicting them.,,,,
524,no,exclude,"The paper focuses on HPC workload characterization and resource management without connecting resource consumption to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper analyzes HPC workload and job resource usage for operations and prediction, but it does not address environmental impacts or methods to measure/predict them beyond general resource management.",,,,
525,no,include,"The paper directly addresses environmental sustainability of data centers and supercomputing (HPC) centers, including greenhouse gas emissions, which qualifies under IC1.",include,"The paper explicitly discusses supercomputing/data centers in terms of sustainability and greenhouse gas impacts, so it addresses environmental impacts in the HPC context.",,,,
526,no,exclude,"This paper focuses on HPC-scale protein similarity search performance and scalability, with no mention of environmental impacts, carbon emissions, energy consumption in an environmental context, or related sustainability concerns.",exclude,The paper focuses on scalable protein similarity search performance on an HPC system and does not address environmental impacts or methods to measure them.,,,,
527,no,exclude,"EC1/EC2 — the paper focuses on computational efficiency and memory optimization for HPC workloads, with no connection to environmental impacts such as carbon emissions, energy consumption in an environmental context, water use, or material depletion.",exclude,"The paper is about parallel, memory-efficient ptychographic reconstruction performance on GPUs and does not address environmental impacts or methodologies for assessing them in an HPC context.",,,,
528,no,exclude,"EC2 — the paper focuses on reducing energy and memory costs in graph processing, but does not connect energy consumption to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about improving graph processing performance and memory efficiency, mentioning energy cost only in passing without addressing broader environmental impacts or methods to assess them in an HPC environmental context.",,,,
529,no,include,"The paper explicitly mentions environmental impact concerns of large AI model training costs and presents a method that reduces compute and memory requirements, connecting to IC1/IC2.",exclude,"The paper focuses on computational and memory efficiency for AI model training and only mentions environmental concerns in passing, without addressing or measuring broader environmental impacts in an HPC context.",,,,
530,no,exclude,"EC1 — the paper is about educational tools for watershed science using HPC infrastructure, with no focus on the environmental impacts of HPC systems themselves.",exclude,"The paper uses computing tools for environmental science education and watershed modeling, but it does not address environmental impacts of HPC systems or methods to measure/predict them.",,,,
531,no,exclude,"EC1/EC2 — the paper focuses on real-time HPC benchmarking for a military radar system, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about real-time HPC benchmarking and system performance constraints, and it does not address environmental impacts of HPC beyond operational metrics like power/use, so it falls outside the review scope.",,,,
532,no,exclude,"EC1 — the paper is about teleteaching and virtual reality environments over networks, with no relation to the environmental impacts of HPC.",exclude,"The paper discusses teleteaching, distributed virtual reality, and networking infrastructure using a supercomputer, but it does not address environmental impacts or methods to measure/predict them in HPC.",,,,
533,no,exclude,"EC1 — the paper is about Java multithreading programming techniques for HPC, with no discussion of environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The book is about Java concurrency and high-performance computing performance/programming, with no discussion of environmental impacts or methods to assess them in HPC.",,,,
534,no,exclude,"EC1/EC2 — the paper addresses runtime adaptation for performance robustness in distributed HPC clusters, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on runtime performance adaptation and reliability in distributed clusters, not on environmental impacts of HPC systems.",,,,
535,no,exclude,"EC1 — the paper is about gyrokinetic simulations for fusion plasma physics research and uses HPC as a computational tool, but does not address the environmental impacts of HPC systems.",exclude,The paper uses HPC to study plasma transport in tokamaks but does not address environmental impacts of HPC systems or methods to measure/predict them.,,,,
536,no,exclude,"EC1 — the paper focuses on ecological drivers of forest biodiversity and remote sensing methods; HPC is mentioned only incidentally as a computational tool, not in the context of its environmental impacts.",exclude,The paper uses high-performance computing as a tool for ecological research but does not address the environmental impacts of HPC systems or methods to assess them.,,,,
537,no,exclude,"EC1 — the paper focuses on workflow execution efficiency, resource utilization, and campaign management on HPC systems, with no mention of environmental impacts such as energy consumption, carbon emissions, or related metrics.",exclude,"The paper focuses on workflow execution, scheduling, and resource utilization on HPC systems without addressing environmental impacts or methodologies for measuring/predicting them.",,,,
538,no,exclude,"EC1 — this paper is about water management and flood risk for the Yahara River Chain of Lakes; HPC is only incidentally mentioned as the computing infrastructure for a water modeling system, with no focus on HPC environmental impacts.",exclude,The paper uses an HPC server as a tool for hydrological modeling but does not study the environmental impacts of HPC systems themselves.,,,,
539,no,exclude,"EC1 — the paper is about proton therapy system dosimetry and radiation safety; HPC is only mentioned incidentally as a computational tool, not in the context of its environmental impacts.",exclude,"The paper studies a proton therapy system and uses HPC only as a computational tool, without addressing environmental impacts of HPC systems or methods to measure/predict them.",,,,
540,no,exclude,"EC1 — the paper focuses on Kubernetes scheduling fairness and multi-tenant resource management, with no connection to environmental impacts of HPC.",exclude,"The paper studies fairness, scheduling, and performance of Kubernetes for HPC workloads without addressing environmental impacts or methods for measuring/predicting them.",,,,
541,no,exclude,"The paper focuses on HPC job scheduling optimization for resource efficiency and performance, with no mention of environmental impacts, carbon emissions, energy consumption in an environmental context, or other sustainability metrics.",exclude,The paper focuses on HPC job scheduling performance and resource allocation without addressing environmental impacts or methods for measuring/predicting them in HPC.,,,,
542,no,exclude,"The paper focuses on fault tolerance and workload sustainability in terms of reliability/uptime, not on environmental impacts such as carbon emissions, energy consumption linked to broader environmental concerns, water use, or material depletion.",exclude,"The paper focuses on reliability and fault tolerance for HPC workloads and does not address or measure environmental impacts such as carbon, water, or materials.",,,,
543,no,include,"The paper addresses energy consumption in HPC cloud datacenters from a provider perspective, connecting resource management to minimizing datacenter energy consumption.",exclude,"The abstract focuses on cloud/HPC resource management, performance, cost, and energy efficiency without addressing broader environmental impacts such as carbon, water, or materials.",,,,
544,no,exclude,"The paper focuses on application and system co-optimization for big data in cloud/HPC environments, with no mention of environmental impacts such as carbon emissions, energy consumption in an environmental context, water use, or material depletion.",exclude,"The abstract focuses on performance, cost, scalability, memory, compute, and I/O optimization in cloud/HPC systems without addressing environmental impacts or methods to measure/predict them.",,,,
